year, category a, category b, category c, value, axis, show on left-menu, description
1990,Population,,,3292111,population,1
1991,Population,,,3373787,population,1
1992,Population,,,3468802,population,1
1993,Population,,,3567772,population,1
1994,Population,,,3676075,population,1
1995,Population,,,3777390,population,1
1996,Population,,,3874317,population,1
1997,Population,,,3948583,population,1
1998,Population,,,3983113,population,1
1999,Population,,,4011375,population,1
2000,Population,,,4039230,population,1
2001,Population,,,4076950,population,1
2002,Population,,,4100564,population,1
2003,Population,,,4124482,population,1
2004,Population,,,4155651,population,1
2005,Population,,,4196062,population,1
2006,Population,,,4241794,population,1
2007,Population,,,4290984,population,1
2008,Population,,,4349336,population,1
2009,Population,,,4410506,population,1
2010,Population,,,4465546,population,1
2011,Population,,,4502104,population,1
2012,Population,,,4566769,population,1
2013,Population,,,4630077,population,1
2014,Population,,,4707103,population,1
2015,Population,,,4776388,population,1
2016,Population,,,4859250,population,1
2017,Population,,,4922152,population,1
2018,Population,,,4991687,population,1
1990,Tax $/t,,,0,tax,1
1991,Tax $/t,,,0,tax,1
1992,Tax $/t,,,0,tax,1
1993,Tax $/t,,,0,tax,1
1994,Tax $/t,,,0,tax,1
1995,Tax $/t,,,0,tax,1
1996,Tax $/t,,,0,tax,1
1997,Tax $/t,,,0,tax,1
1998,Tax $/t,,,0,tax,1
1999,Tax $/t,,,0,tax,1
2000,Tax $/t,,,0,tax,1
2001,Tax $/t,,,0,tax,1
2002,Tax $/t,,,0,tax,1
2003,Tax $/t,,,0,tax,1
2004,Tax $/t,,,0,tax,1
2005,Tax $/t,,,0,tax,1
2006,Tax $/t,,,0,tax,1
2007,Tax $/t,,,0,tax,1
2008,Tax $/t,,,10,tax,1
2009,Tax $/t,,,15,tax,1
2010,Tax $/t,,,20,tax,1
2011,Tax $/t,,,25,tax,1
2012,Tax $/t,,,30,tax,1
2013,Tax $/t,,,30,tax,1
2014,Tax $/t,,,30,tax,1
2015,Tax $/t,,,30,tax,1
2016,Tax $/t,,,30,tax,1
2017,Tax $/t,,,30,tax,1
2018,Tax $/t,,,35,tax,1
